scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
GreatCourt,train,seq5,GreatCourt/seq5/frame00001.png,54.62879,0.339174,1.45235,0.723934,0.688749,0.026008,-0.029445
GreatCourt,train,seq5,GreatCourt/seq5/frame00002.png,54.650606,0.064587,1.427809,0.723975,0.6886760000000001,0.027183999999999996,-0.0291
GreatCourt,train,seq5,GreatCourt/seq5/frame00003.png,54.67653000000001,-0.079872,1.412251,0.724062,0.688554,0.028454000000000004,-0.028598
GreatCourt,train,seq5,GreatCourt/seq5/frame00004.png,54.425473,0.27165300000000003,1.4210610000000001,0.729328,0.6828649999999999,0.032504000000000005,-0.026824
GreatCourt,train,seq5,GreatCourt/seq5/frame00005.png,53.98635,0.540818,1.451318,0.726529,0.685533,0.025469,-0.039378
GreatCourt,train,seq5,GreatCourt/seq5/frame00006.png,53.26599,0.628514,1.443359,0.735629,0.676755,0.016401,-0.024183
GreatCourt,train,seq5,GreatCourt/seq5/frame00007.png,53.043588,0.591934,1.442204,0.72618,0.686966,-0.016104,0.021921
GreatCourt,train,seq5,GreatCourt/seq5/frame00008.png,52.275582,1.163841,1.430445,0.728427,0.6821729999999999,-0.042006,0.047638
GreatCourt,train,seq5,GreatCourt/seq5/frame00009.png,51.575309000000004,1.526195,1.4948219999999999,0.7252970000000001,0.675167,-0.097146,0.093042
GreatCourt,train,seq5,GreatCourt/seq5/frame00010.png,50.953462,1.966791,1.426621,0.704814,0.6654680000000001,-0.182402,0.164679
GreatCourt,train,seq5,GreatCourt/seq5/frame00011.png,50.374091,2.068143,1.457325,0.7091890000000001,0.652696,-0.175767,0.20036199999999998
GreatCourt,train,seq5,GreatCourt/seq5/frame00012.png,49.563169,2.146313,1.3919190000000001,0.697141,0.6625770000000001,-0.177098,0.208858
GreatCourt,train,seq5,GreatCourt/seq5/frame00013.png,49.078873,2.6825360000000003,1.420742,0.72317,0.649003,-0.166272,0.167849
GreatCourt,train,seq5,GreatCourt/seq5/frame00014.png,48.315128,2.927822,1.391701,0.732165,0.649876,-0.135778,0.15218399999999999
GreatCourt,train,seq5,GreatCourt/seq5/frame00015.png,47.294983,3.2373119999999997,1.359499,0.7408600000000001,0.6644770000000001,-0.057497,0.079315
GreatCourt,train,seq5,GreatCourt/seq5/frame00016.png,46.953006,3.5184849999999996,1.3768610000000001,0.723952,0.685545,-0.051426,0.05725
GreatCourt,train,seq5,GreatCourt/seq5/frame00017.png,45.962726,3.61255,1.311644,0.720083,0.693678,-0.01516,0.007864
GreatCourt,train,seq5,GreatCourt/seq5/frame00018.png,45.238984,3.5640709999999998,1.326199,0.710683,0.701991,-0.003568,0.046113
GreatCourt,train,seq5,GreatCourt/seq5/frame00019.png,44.649096,4.2717480000000005,1.384674,0.721036,0.6926939999999999,-0.016714,-0.001648
GreatCourt,train,seq5,GreatCourt/seq5/frame00020.png,44.006519,4.056697,1.327043,0.7278720000000001,0.6856770000000001,-0.003214,-0.006281
